ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_time_is_it,3_What_is_the_plot_n,4_What_is_the_subplo,5_Is_this_an_ambient,6_What_is_the_light_
ea04279d-197c-449c-8903-1e0c615d6a17,2021-09-11T16:50:01.742Z,2021-09-13T16:07:50.000Z,36 NW Ground,11/9/21,11:49:44,36,NW,Ground,529
4c0ff592-7e70-4540-9a74-b114b5f0be24,2021-09-11T16:49:31.692Z,2021-09-13T16:07:48.000Z,36 NW Ground,11/9/21,11:49:16,36,NW,Ground,374
08100567-d6e4-4d8f-b3ff-3537a18579b1,2021-09-11T16:49:10.289Z,2021-09-13T16:07:46.000Z,36 NW Ground,11/9/21,11:48:39,36,NW,Ground,574
da02f1c3-8783-4b48-ae3d-83d5428a6f29,2021-09-11T16:48:35.125Z,2021-09-13T16:07:44.000Z,36 NW Ambient,11/9/21,11:47:54,36,NW,Ambient,1153
4e709cf4-ef6f-4788-b177-046daaa8bc62,2021-09-11T16:46:27.269Z,2021-09-13T16:07:42.000Z,37 SW Ground,11/9/21,11:46:11,37,SW,Ground,445
af2f7e20-e87c-49c1-92c9-bb4365f2c6ad,2021-09-11T16:46:07.450Z,2021-09-13T16:07:40.000Z,37 SW Ground,11/9/21,11:45:38,37,SW,Ground,666
525a7569-c674-4f93-8ca9-c6dcee1d3222,2021-09-11T16:45:33.153Z,2021-09-13T16:07:38.000Z,37 SW Ground,11/9/21,11:45:14,37,SW,Ground,369
486c406c-89ba-4dc5-aaf5-7d3cbda3bae2,2021-09-11T16:45:10.199Z,2021-09-13T16:07:37.000Z,37 SW Ambient,11/9/21,11:44:28,37,SW,Ambient,1175
f0e6e81a-01cc-4f1c-883e-13bc52f4011a,2021-09-11T16:41:50.339Z,2021-09-13T16:07:35.000Z,39 SE Ground,11/9/21,11:41:21,39,SE,Ground,125
14bbf78f-04ff-4a51-a3f5-e628cb039aae,2021-09-11T16:41:17.436Z,2021-09-13T16:07:33.000Z,39 SE Ground,11/9/21,11:40:59,39,SE,Ground,274
84f23b44-4f96-44fd-8e16-b7e01b766c92,2021-09-11T16:40:54.524Z,2021-09-13T16:07:31.000Z,39 SE Ground,11/9/21,11:39:15,39,SE,Ground,169
bdb1ab43-06fd-4237-9a07-2446047a0d9c,2021-09-11T16:39:11.465Z,2021-09-13T16:07:29.000Z,39 NE Ambient,11/9/21,11:38:32,39,NE,Ambient,1165
11ea1259-1298-4a81-aa9e-7b464cc44c54,2021-09-11T16:36:02.713Z,2021-09-13T16:07:27.000Z,42 NW Ground,11/9/21,11:35:48,42,NW,Ground,157
c8da16b6-9289-48af-9894-5838d6048009,2021-09-11T16:35:44.232Z,2021-09-13T16:07:25.000Z,42 NW Ground,11/9/21,11:35:27,42,NW,Ground,124
93e8fe4b-c349-41e8-8f5a-8fcb9ef4a77d,2021-09-11T16:35:23.262Z,2021-09-13T16:07:24.000Z,42 NW Ground,11/9/21,11:35:00,42,NW,Ground,250
9a99c7b5-e905-4950-a568-8252fe75f43c,2021-09-11T16:34:34.754Z,2021-09-13T16:07:22.000Z,42 NW Ambient,11/9/21,11:33:53,42,NW,Ambient,1161
5a66ebe3-7600-4a70-9c59-aa2a5614dfbe,2021-09-11T16:32:29.886Z,2021-09-13T16:07:20.000Z,35 SW Ground,11/9/21,11:32:08,35,SW,Ground,208
3cd4d9b9-926d-493b-ab6f-9225f34196fb,2021-09-11T16:32:04.727Z,2021-09-13T16:07:18.000Z,35 SW Ground,11/9/21,11:31:37,35,SW,Ground,258
ebafc6dd-cb58-4431-b2c8-ea911264ffef,2021-09-11T16:31:32.028Z,2021-09-13T16:07:16.000Z,35 SW Ground,11/9/21,11:31:06,35,SW,Ground,225
fce7f2e4-1d4f-4e40-bbc6-68d7e32eff8f,2021-09-11T16:31:02.079Z,2021-09-13T16:07:14.000Z,35 NW Ambient,11/9/21,11:30:20,35,NW,Ambient,1144
81cb5d5a-1257-4e25-b147-c584ae5fe912,2021-09-11T16:27:11.215Z,2021-09-13T16:07:12.000Z,34 SW Ground,11/9/21,11:26:50,34,SW,Ground,223
4f9e1d3e-bae4-49c6-9a56-15bc8bb75464,2021-09-11T16:26:45.152Z,2021-09-13T16:07:10.000Z,34 SW Ground,11/9/21,11:26:22,34,SW,Ground,289
2e71d664-bbae-4632-8ec4-7cf899e00fdc,2021-09-11T16:26:18.518Z,2021-09-13T16:07:07.000Z,34 SW Ground,11/9/21,11:25:50,34,SW,Ground,172
5b6fe36d-cd5d-43f8-afb0-ceab329a335f,2021-09-11T16:25:43.330Z,2021-09-13T16:07:05.000Z,34 SW Ambient,11/9/21,11:25:00,34,SW,Ambient,1132
66d14582-4495-43e1-bf8e-45272b60eeb5,2021-09-11T16:22:42.992Z,2021-09-13T16:07:04.000Z,33 SW Ground,11/9/21,11:22:23,33,SW,Ground,174
1f273e9e-88d6-43ec-b91c-21514e2a71cc,2021-09-11T16:22:18.831Z,2021-09-13T16:07:02.000Z,33 SW Ground,11/9/21,11:21:53,33,SW,Ground,202
6d39ecd1-af4f-4886-b076-cce6b212abbf,2021-09-11T16:21:49.358Z,2021-09-13T16:07:00.000Z,33 SW Ground,11/9/21,11:21:19,33,SW,Ground,214
650bc226-3040-4bb5-8581-602976657b9a,2021-09-11T16:21:10.792Z,2021-09-13T16:06:58.000Z,33 SW Ambient,11/9/21,11:20:24,33,SW,Ambient,1014
