ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_time_is_it,3_What_is_the_plot_n,4_What_is_the_subplo,5_Is_this_an_ambient,6_What_is_the_light_
76871bdb-62fd-4601-bc48-b20cc4ffba49,2020-09-19T17:37:01.252Z,2020-09-20T02:36:36.000Z,"11 NE Ground",19/09/2020,12:36:45,11,NE,Ground,890
6d34d8f8-4bf8-4ae2-921f-845fd112408e,2020-09-19T17:36:39.808Z,2020-09-20T02:36:34.000Z,"11 NE Ground",19/09/2020,12:36:14,11,NE,Ground,1025
41119b79-b6b0-430f-b777-0a2ad86fbd80,2020-09-19T17:36:10.143Z,2020-09-20T02:36:32.000Z,"11 NE Ground",19/09/2020,12:35:38,11,NE,Ground,925
3adb4cd6-31b4-4d53-84bf-eccbab3fefc4,2020-09-19T17:35:34.653Z,2020-09-20T03:38:39.000Z,"11 NE Ambient",19/09/2020,12:35:17,11,NE,Ambient,1285
73dab257-eedb-41d0-bc2e-7f0a1c5e501e,2020-09-19T17:35:04.444Z,2020-09-20T02:36:27.000Z,"12 SE Ground",19/09/2020,12:34:50,12,SE,Ground,787
5833ad1e-e987-4fad-8f98-b20a39025fe9,2020-09-19T17:34:45.117Z,2020-09-20T02:36:26.000Z,"12 SE Ground",19/09/2020,12:34:31,12,SE,Ground,764
a75d30b0-3ede-4c94-86b8-f6cb268d390c,2020-09-19T17:34:25.550Z,2020-09-20T02:36:24.000Z,"12 SE Ground",19/09/2020,12:34:12,12,SE,Ground,556
10f380cc-5906-4ce2-a53c-f99e5c982f99,2020-09-19T17:34:08.572Z,2020-09-20T02:36:22.000Z,"12 SE Ambient",19/09/2020,12:33:53,12,SE,Ambient,1330
e54d4876-c656-4d76-8be9-6653630a7a7a,2020-09-19T17:33:48.372Z,2020-09-20T02:36:20.000Z,"13 NW Ground",19/09/2020,12:33:34,13,NW,Ground,469
a737140e-defe-42c5-b65c-54b7decb1727,2020-09-19T17:33:29.145Z,2020-09-20T02:36:18.000Z,"13 NW Ground",19/09/2020,12:33:09,13,NW,Ground,429
270b282a-56f5-449a-a973-b3e67076385c,2020-09-19T17:33:02.641Z,2020-09-20T02:36:38.000Z,"13 NW Ground",19/09/2020,12:32:30,13,NW,Ground,323
0768f7d3-5111-48ed-8aa9-421250255eb1,2020-09-19T17:32:15.041Z,2020-09-20T02:36:16.000Z,"13 NW Ambient",19/09/2020,12:31:55,13,NW,Ambient,1302
169f8c8a-c878-4c70-98ff-ff9258c2d607,2020-09-19T17:31:44.234Z,2020-09-20T02:36:14.000Z,"14 NE Ground",19/09/2020,12:31:26,14,NE,Ground,795
447b6c4e-3da8-4e87-94e5-a08105433ffb,2020-09-19T17:31:21.267Z,2020-09-20T02:36:12.000Z,"14 NE Ground",19/09/2020,12:31:04,14,NE,Ground,345
53ef2a6c-82a2-4d17-8a4f-9c9785520224,2020-09-19T17:30:54.661Z,2020-09-20T02:36:10.000Z,"14 NE Ground",19/09/2020,12:30:39,14,NE,Ground,624
3c89549e-4d75-4f44-b4d4-d5de4ce192e7,2020-09-19T17:30:35.161Z,2020-09-20T02:36:08.000Z,"14 NE Ambient",19/09/2020,12:30:04,14,NE,Ambient,1302
1cb97aea-33ad-4ab8-a954-c0fc78d798b5,2020-09-19T17:29:40.180Z,2020-09-20T02:36:06.000Z,"5 NW Ground",19/09/2020,12:29:21,5,NW,Ground,1203
e2a7c37c-7627-4dd0-8a34-b1ef1816a68a,2020-09-19T17:29:14.755Z,2020-09-20T02:36:04.000Z,"5 NW Ground",19/09/2020,12:28:59,5,NW,Ground,1256
64562868-3b99-4011-b066-29496793dda7,2020-09-19T17:28:54.893Z,2020-09-20T02:36:02.000Z,"5 NW Ground",19/09/2020,12:28:34,5,NW,Ground,1283
a2be2187-615e-4249-8012-8b90102fa077,2020-09-19T17:28:31.329Z,2020-09-20T02:36:00.000Z,"5 NW Ambient",19/09/2020,12:27:49,5,NW,Ambient,1267
