ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_time_is_it,3_What_is_the_plot_n,4_What_is_the_subplo,5_Is_this_an_ambient,6_What_is_the_light_
6f23cff4-e3df-4b8b-bfa5-cf6cd521d25c,2022-09-17T15:43:38.572Z,2022-09-17T21:57:07.000Z,"2 NE Ground",17/09/2022,10:43:17,2,NE,Ground,610
587adaab-bc75-4155-8314-2f3597653940,2022-09-17T15:43:12.795Z,2022-09-17T21:57:05.000Z,"2 NE Ground",17/09/2022,10:42:59,2,NE,Ground,243
f1ae947b-1363-45f6-9b96-255cd5486db2,2022-09-17T15:42:55.632Z,2022-09-17T21:57:03.000Z,"2 NE Ground",17/09/2022,10:42:42,2,NE,Ground,811
b5100a3f-bccf-4e9c-bb1d-95446511328e,2022-09-17T15:42:38.719Z,2022-09-17T21:57:01.000Z,"2 NE Ambient",17/09/2022,10:42:00,2,NE,Ambient,1099
a7051a51-53b8-407b-bb03-76ee6dcd482f,2022-09-17T15:41:19.551Z,2022-09-17T21:56:59.000Z,"3 NW Ground",17/09/2022,10:41:02,3,NW,Ground,912
c7717f43-97b0-4e87-9edd-fe48e0fdc5e1,2022-09-17T15:40:58.643Z,2022-09-17T21:56:57.000Z,"3 NW Ground",17/09/2022,10:40:39,3,NW,Ground,1061
d037d5fe-c398-46ae-a0f5-2926543b45c1,2022-09-17T15:40:35.041Z,2022-09-17T21:56:54.000Z,"3 NW Ground",17/09/2022,10:40:20,3,NW,Ground,857
8bdbb2ea-6e77-4ea7-bddb-4000f0895bd6,2022-09-17T15:40:16.559Z,2022-09-17T21:56:52.000Z,"3 NW Ambient",17/09/2022,10:39:17,3,NW,Ambient,1072
75f90e5c-2e42-4281-9f5f-01b0110f4e01,2022-09-17T15:39:12.144Z,2022-09-17T21:56:50.000Z,"4 NW Ground",17/09/2022,10:38:41,4,NW,Ground,601
5fbea1af-14ca-4708-8812-1d994f7c32ee,2022-09-17T15:38:35.403Z,2022-09-17T21:56:48.000Z,"4 NW Ground",17/09/2022,10:38:22,4,NW,Ground,720
deeef3bb-53b1-4978-b96a-b932f87b4a4e,2022-09-17T15:38:19.253Z,2022-09-17T21:56:46.000Z,"4 NW Ground",17/09/2022,10:38:06,4,NW,Ground,543
899ef348-6ef0-4e13-8d41-efd468acf919,2022-09-17T15:38:02.347Z,2022-09-17T21:56:44.000Z,"4 NW Ambient",17/09/2022,10:36:49,4,NW,Ambient,1069
adbbba3f-a58e-43aa-98be-ee1a04e8e4e0,2022-09-17T15:36:43.720Z,2022-09-17T21:56:41.000Z,"5 NW Ground",17/09/2022,10:36:21,5,NW,Ground,729
312f9ed6-3e6f-4aef-853e-454d55124439,2022-09-17T15:36:17.551Z,2022-09-17T21:56:39.000Z,"5 NW Ground",17/09/2022,10:36:02,5,NW,Ground,302
d9f74338-17b8-4ef3-a249-6cf769008e76,2022-09-17T15:35:58.038Z,2022-09-17T21:56:37.000Z,"5 NW Ground",17/09/2022,10:35:35,5,NW,Ground,182
9cd50cd2-9099-4c7b-8120-7fa41efa1c8a,2022-09-17T15:35:29.067Z,2022-09-17T21:56:35.000Z,"5 NW Ambient",17/09/2022,10:35:03,5,NW,Ambient,1052
89daf430-58fb-40eb-820c-81598c816fa7,2022-09-17T15:34:15.918Z,2022-09-17T21:56:33.000Z,"14 NE Ground",17/09/2022,10:32:53,14,NE,Ground,671
84480e33-0931-4294-b490-8d22a628380a,2022-09-17T15:32:47.668Z,2022-09-17T21:56:31.000Z,"14 NE Ground",17/09/2022,10:32:33,14,NE,Ground,652
35a43343-7e4a-4dcc-8d17-9308056b40ed,2022-09-17T15:32:29.718Z,2022-09-17T21:56:28.000Z,"14 NE Ground",17/09/2022,10:31:55,14,NE,Ground,464
ed800c53-5654-4bc6-97b8-e0fa5a35b197,2022-09-17T15:31:46.611Z,2022-09-17T21:56:26.000Z,"14 NE Ambient",17/09/2022,10:30:59,14,NE,Ambient,1027
e7f26363-08b0-426f-b800-4445a476c8d0,2022-09-17T15:30:19.011Z,2022-09-17T21:56:24.000Z,"13 NW Ground",17/09/2022,10:30:05,13,NW,Ground,304
69ec4910-1f7a-4644-90db-dfd19887d30a,2022-09-17T15:30:00.598Z,2022-09-17T21:56:21.000Z,"13 NW Ground",17/09/2022,10:29:21,13,NW,Ground,413
811ebe76-4487-410d-9915-49fea6b54ed1,2022-09-17T15:29:16.514Z,2022-09-17T21:56:19.000Z,"13 NW Ground",17/09/2022,10:28:52,13,NW,Ground,508
5efd333a-0aae-4485-b108-be03c97f875c,2022-09-17T15:28:45.331Z,2022-09-17T21:56:17.000Z,"13 NW Ambient",17/09/2022,10:28:14,13,NW,Ambient,1015
0f1dcc48-b27a-4b5a-aa96-4a8aafcc276c,2022-09-17T15:28:01.969Z,2022-09-17T20:56:41.000Z,"12 SW Ground",17/09/2022,10:27:03,12,SW,Ground,928
bd59990a-d465-4287-b2b5-81d11f59b174,2022-09-17T15:26:58.472Z,2022-09-17T20:56:40.000Z,"12 SW Ground",17/09/2022,10:26:42,12,SW,Ground,366
fcb0b4c7-7705-4227-9387-dbd2fd2f76f9,2022-09-17T15:26:36.666Z,2022-09-17T20:56:37.000Z,"12 SW Ground",17/09/2022,10:26:22,12,SW,Ground,186
3a8c6df8-0e60-4457-afb1-77c18afce4c8,2022-09-17T15:26:18.479Z,2022-09-17T20:56:35.000Z,"12 SW Ambient",17/09/2022,10:25:18,12,SW,Ambient,981
