date,time,plot_number,sub_plot,sub+subplot,measurement_type,light_level
,,,,,,
26/08/2023,11:30:03,42,SE,NW,below,1074
,,,,,,
26/08/2023,11:29:23,42,SE,NW,below,1170
,,,,,,
26/08/2023,11:28:54,42,SE,NW,below,1208
,,,,,,
26/08/2023,11:28:22,42,SE,NW,above,1452
,,,,,,
26/08/2023,11:26:46,35,NW,SW,below,718
,,,,,,
26/08/2023,11:26:27,35,NW,SW,below,525
,,,,,,
26/08/2023,11:26:00,35,NW,SW,below,976
,,,,,,
26/08/2023,11:25:35,35,NW,SW,above,1429
,,,,,,
26/08/2023,11:23:30,34,NE,SW,below,891
,,,,,,
26/08/2023,11:23:09,34,NE,SW,below,879
,,,,,,
26/08/2023,11:22:26,34,NE,SW,below,1129
,,,,,,
26/08/2023,11:22:02,34,NE,SW,above,1334
,,,,,,
26/08/2023,11:20:42,33,NE,SW,below,692
,,,,,,
26/08/2023,11:20:20,33,NE,SW,below,447
,,,,,,
26/08/2023,11:20:01,33,NE,SW,below,840
,,,,,,
26/08/2023,11:19:28,33,NE,SW,above,1197
,,,,,,
26/08/2023,11:16:15,32,SE,SW,below,602
,,,,,,
26/08/2023,11:15:55,32,SE,SW,below,936
,,,,,,
26/08/2023,11:15:32,32,SE,SW,below,822
,,,,,,
26/08/2023,11:15:07,32,SE,SW,above,1317
,,,,,,
26/08/2023,11:13:33,39,NE,SE,below,500
,,,,,,
26/08/2023,11:12:54,39,NE,SE,below,687
,,,,,,
26/08/2023,11:12:31,39,NE,SE,below,913
,,,,,,
26/08/2023,11:11:58,39,NE,SE,above,1419
,,,,,,
26/08/2023,11:09:51,30,NW,NE,below,765
,,,,,,
26/08/2023,11:09:33,30,NW,NE,below,712
,,,,,,
26/08/2023,11:09:11,30,NW,NE,below,1027
,,,,,,
26/08/2023,11:08:45,30,NW,NE,above,1333
,,,,,,
26/08/2023,11:07:32,37,SW,SW,below,936
,,,,,,
26/08/2023,11:07:06,37,SW,SW,below,1018
,,,,,,
26/08/2023,11:06:46,37,SW,SW,below,1022
,,,,,,
26/08/2023,11:06:20,37,SW,SW,above,1285
,,,,,,
26/08/2023,11:05:35,29,NE,NE,below,942
,,,,,,
26/08/2023,11:05:13,29,NE,NE,below,1135
,,,,,,
26/08/2023,11:04:49,29,NE,NE,below,1007
,,,,,,
26/08/2023,11:04:19,29,NE,NE,above,1234
,,,,,,
26/08/2023,11:03:01,36,SW,NW,below,1258
,,,,,,
26/08/2023,11:02:37,36,SW,NW,below,1141
,,,,,,
26/08/2023,11:02:14,36,SW,NW,below,1045
,,,,,,
26/08/2023,11:01:04,36,SW,NW,above,1358
,,,,,,
26/08/2023,10:52:24,15,NW,SW,below,935
,,,,,,
26/08/2023,10:52:05,15,NW,SW,below,826
,,,,,,
26/08/2023,10:51:43,15,NW,SW,below,858
,,,,,,
26/08/2023,10:51:17,15,NW,SW,above,1166
,,,,,,
26/08/2023,10:50:08,16,SW,NW,below,1004
,,,,,,
26/08/2023,10:49:46,16,SW,NW,below,916
,,,,,,
26/08/2023,10:49:19,16,SW,NW,below,950
,,,,,,
26/08/2023,10:48:59,16,SW,NW,above,1167
,,,,,,
26/08/2023,10:46:42,23,NW,NE,below,255
,,,,,,
26/08/2023,10:46:20,23,NW,NE,below,222
,,,,,,
26/08/2023,10:45:53,23,NW,NE,below,335
,,,,,,
26/08/2023,10:45:24,23,NW,NE,above,1137
,,,,,,
26/08/2023,10:43:29,24,SE,SE,below,601
,,,,,,
26/08/2023,10:42:59,24,SE,SE,below,705
,,,,,,
26/08/2023,10:42:37,24,SE,SE,below,530
,,,,,,
26/08/2023,10:42:04,24,SE,SE,above,1180
,,,,,,
26/08/2023,10:39:14,17,NW,NW,below,1090
,,,,,,
26/08/2023,10:38:42,17,NW,NW,below,1033
,,,,,,
26/08/2023,10:38:17,17,NW,NW,below,1002
,,,,,,
26/08/2023,10:37:55,17,NW,NW,above,1112
,,,,,,
26/08/2023,10:36:48,18,NW,NW,below,461
,,,,,,
26/08/2023,10:36:29,18,NW,NW,below,496
,,,,,,
26/08/2023,10:36:10,18,NW,NW,below,370
,,,,,,
26/08/2023,10:35:43,18,NW,NW,above,968
,,,,,,
26/08/2023,10:30:19,20,SW,SW,below,803
,,,,,,
26/08/2023,10:29:40,20,SW,SW,below,521
,,,,,,
26/08/2023,10:29:22,20,SW,SW,below,760
,,,,,,
26/08/2023,10:28:03,20,SW,SW,above,907
,,,,,,
26/08/2023,10:26:09,27,SW,SE,below,300
,,,,,,
26/08/2023,10:25:39,27,SW,SE,below,541
,,,,,,
26/08/2023,10:25:11,27,SW,SE,below,307
,,,,,,
26/08/2023,10:24:46,27,SW,SE,above,1020
,,,,,,
26/08/2023,10:23:01,28,SW,SW,below,330
,,,,,,
26/08/2023,10:22:41,28,SW,SW,below,444
,,,,,,
26/08/2023,10:22:20,28,SW,SW,below,397
,,,,,,
26/08/2023,10:21:50,28,SW,SW,above,1188
,,,,,,
26/08/2023,10:19:48,21,SE,NW,below,473
,,,,,,
26/08/2023,10:18:43,21,SE,NW,below,449
,,,,,,
26/08/2023,10:18:23,21,SE,NW,below,565
,,,,,,
26/08/2023,10:17:53,21,SE,NW,above,966
,,,,,,
26/08/2023,10:10:12,14,NE,SE,below,623
,,,,,,
26/08/2023,10:09:46,14,NE,SE,below,345
,,,,,,
26/08/2023,10:08:59,14,NE,SE,below,486
,,,,,,
26/08/2023,10:08:10,14,NE,SE,above,953
,,,,,,
26/08/2023,10:06:51,13,NW,SE,below,485
,,,,,,
26/08/2023,10:06:20,13,NW,SE,below,400
,,,,,,
26/08/2023,10:05:51,13,NW,SE,below,604
,,,,,,
26/08/2023,10:05:24,13,NW,SE,above,1052
,,,,,,
26/08/2023,10:01:54,12,SW,NE,below,265
,,,,,,
26/08/2023,10:01:33,12,SW,NE,below,336
,,,,,,
26/08/2023,10:01:10,12,SW,NE,below,188
,,,,,,
26/08/2023,10:00:25,12,SW,NE,above,878
,,,,,,
26/08/2023,9:58:22,5,NW,SW,below,377
,,,,,,
26/08/2023,9:57:40,5,NW,SW,below,380
,,,,,,
26/08/2023,9:56:47,5,NW,SW,below,317
,,,,,,
26/08/2023,9:56:22,5,NW,SW,above,805
,,,,,,
26/08/2023,9:54:20,11,NE,NW,below,526
,,,,,,
26/08/2023,9:53:14,11,NE,NW,below,388
,,,,,,
26/08/2023,9:52:33,11,NE,NW,below,363
,,,,,,
26/08/2023,9:52:10,11,NE,NW,above,1159
,,,,,,
26/08/2023,9:50:41,4,NW,SE,below,438
,,,,,,
26/08/2023,9:50:08,4,NW,SE,below,368
,,,,,,
26/08/2023,9:49:05,4,NW,SE,below,335
,,,,,,
