date,time,plot_number,sub_plot,sub+subplot,measurement_type,light_level
26/08/2023,9:48:37,4,NW,SE,above,711
,,,,,,
26/08/2023,9:46:25,3,NW,NE,below,205
,,,,,,
26/08/2023,9:45:53,3,NW,NE,below,479
,,,,,,
26/08/2023,9:45:28,3,NW,NE,below,222
,,,,,,
26/08/2023,9:45:04,3,NW,NE,above,681
,,,,,,
26/08/2023,9:43:11,9,SW,NE,below,176
,,,,,,
26/08/2023,9:42:45,9,SW,NE,below,172
,,,,,,
26/08/2023,9:42:22,9,SW,NE,below,216
,,,,,,
26/08/2023,9:41:50,9,SW,NE,above,833
,,,,,,
26/08/2023,9:39:19,2,NE,SE,below,486
,,,,,,
26/08/2023,9:37:26,2,NE,SE,below,330
,,,,,,
26/08/2023,9:36:30,2,NE,SE,below,404
,,,,,,
26/08/2023,9:35:54,2,NE,SE,above,670
,,,,,,
26/08/2023,9:33:55,8,NW,NE,below,345
,,,,,,
26/08/2023,9:31:38,8,NW,NE,below,359
,,,,,,
26/08/2023,9:31:19,8,NW,NE,below,306
,,,,,,
26/08/2023,9:30:02,8,NW,NE,above,664
