ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,lat_2_What_is_the_locati,long_2_What_is_the_locati,accuracy_2_What_is_the_locati,UTM_Northing_2_What_is_the_locati,UTM_Easting_2_What_is_the_locati,UTM_Zone_2_What_is_the_locati,3_What_is_the_specie,4_What_is_the_height
7c3fca32-475f-4e51-be10-0de707f8378a,2020-09-27T14:40:34.488Z,2020-09-27T15:09:47.000Z,"DePi 117",27/09/2020,33.600404,-101.897523,8,3721615,231128,14S,DePi,117
030d68b0-c8a5-40d9-8d9c-97229606d424,2020-09-27T14:40:13.307Z,2020-09-27T15:09:45.000Z,"DePi 130",27/09/2020,33.600445,-101.897521,64,3721619,231129,14S,DePi,130
5daeb84f-e5da-442a-a3ac-ae2960392539,2020-09-27T14:39:41.049Z,2020-09-27T15:09:43.000Z,"DePi 151",27/09/2020,33.60037,-101.897496,6,3721611,231131,14S,DePi,151
2e39ba44-6896-4ed6-8030-bcb721425983,2020-09-27T14:39:14.718Z,2020-09-27T15:09:41.000Z,"DePi 126",27/09/2020,33.600366,-101.897495,8,3721610,231131,14S,DePi,126
c1933b9e-ce14-46e8-8130-34d48d685109,2020-09-27T14:38:55.385Z,2020-09-27T15:09:39.000Z,"DePi 129",27/09/2020,33.600263,-101.897533,96,3721599,231127,14S,DePi,129
47b320d3-a736-477d-9dad-c45ba4787112,2020-09-27T14:38:28.024Z,2020-09-27T15:09:37.000Z,"DePi 151",27/09/2020,33.600433,-101.897805,32,3721619,231102,14S,DePi,151
e10d3626-4e09-41ac-8edf-4a9f5e57de6f,2020-09-27T14:37:57.648Z,2020-09-27T15:09:35.000Z,"DePi 133",27/09/2020,33.600324,-101.897365,32,3721605,231143,14S,DePi,133
a9abfa9d-a1f9-4436-bbb5-8a6fe02e40b1,2020-09-27T14:37:30.057Z,2020-09-27T15:09:33.000Z,"DePi 156",27/09/2020,33.600362,-101.897541,8,3721610,231127,14S,DePi,156
fa8308b1-ae54-4786-a52c-c9115979368e,2020-09-27T14:37:06.110Z,2020-09-27T15:09:32.000Z,"DePi 129",27/09/2020,33.600363,-101.897328,32,3721610,231146,14S,DePi,129
787eedfa-d431-42a1-a604-4a0cda44e0e0,2020-09-27T14:36:45.245Z,2020-09-27T15:09:30.000Z,"DePi 143",27/09/2020,33.600365,-101.897466,32,3721610,231134,14S,DePi,143
