ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,lat_2_What_is_the_locati,long_2_What_is_the_locati,accuracy_2_What_is_the_locati,UTM_Northing_2_What_is_the_locati,UTM_Easting_2_What_is_the_locati,UTM_Zone_2_What_is_the_locati,3_What_is_the_specie,4_What_is_the_height
b228ded6-083c-4ae3-8bd4-20fea868121b,2021-09-11T17:57:04.830Z,2021-09-13T16:05:29.000Z,"Bouteloua 22",11/09/2021,33.599633,-101.897772,5,3721530,231103,14S,Bouteloua,22
cba9625d-d666-4dff-a5b1-598b45b73a38,2021-09-11T17:56:38.139Z,2021-09-13T16:05:27.000Z,"Bouteloua 32",11/09/2021,33.59963,-101.897787,5,3721530,231101,14S,Bouteloua,32
cb046039-2a52-4a47-bd5d-bac659103147,2021-09-11T17:56:16.015Z,2021-09-13T16:05:31.000Z,"Bouteloua 36",11/09/2021,33.599642,-101.89778,5,3721531,231102,14S,Bouteloua,36
2f8730b4-b1e4-4ce7-bb94-5a954bf5a134,2021-09-11T17:55:39.766Z,2021-09-13T16:05:25.000Z,"Bouteloua 22",11/09/2021,33.599651,-101.89778,5,3721532,231102,14S,Bouteloua,22
0da8d887-4dd7-44d0-a892-0b8bb9d46c07,2021-09-11T17:55:18.049Z,2021-09-13T16:05:23.000Z,"Bouteloua 27",11/09/2021,33.599639,-101.897768,5,3721531,231103,14S,Bouteloua,27
8e5be319-6037-48cc-a5bd-55d4b60de3c0,2021-09-11T17:55:01.916Z,2021-09-13T16:05:21.000Z,"Bouteloua 18",11/09/2021,33.599628,-101.897772,5,3721529,231103,14S,Bouteloua,18
6f717234-86b7-4164-b342-f5a8944fc222,2021-09-11T17:54:36.688Z,2021-09-13T16:05:33.000Z,"Bouteloua 59",11/09/2021,33.599641,-101.89777,18,3721531,231103,14S,Bouteloua,59
be188385-fcbb-4d4f-b872-8b1b404052d7,2021-09-11T17:53:50.756Z,2021-09-13T16:05:36.000Z,"Bouteloua spp. 28",11/09/2021,33.599636,-101.897824,64,3721530,231098,14S,"Bouteloua spp.",28
9ae94c35-b895-43a1-b2a9-7205ca56ee30,2021-09-11T17:52:56.653Z,2021-09-13T16:05:35.000Z,"Bouteloua spp. 26",11/09/2021,33.599634,-101.897769,5,3721530,231103,14S,"Bouteloua spp.",26
6728fca7-ea25-4a06-9df1-9d7c2ed445eb,2021-09-11T17:52:17.190Z,2021-09-13T16:05:19.000Z,"Bouteloua spp 44",11/09/2021,33.599514,-101.897589,306,3721516,231119,14S,"Bouteloua spp",44
12093de7-dc10-49c5-93f9-4bfb9dbc1d4d,2021-09-11T17:50:43.556Z,2021-09-13T16:05:38.000Z,"A (video of species) 114",11/09/2021,33.59953,-101.897748,54,3721518,231105,14S,"A (video of species)",114
0430a580-ae17-4ec9-ae3c-55a51558ea88,2021-09-11T17:49:46.272Z,2021-09-13T16:05:18.000Z,"A (Video of species) 174",11/09/2021,33.599603,-101.897678,6,3721526,231111,14S,"A (Video of species)",174
f04d2c4d-8aaa-40ec-9309-edd9f4dd1247,2021-09-11T17:47:45.123Z,2021-09-13T16:05:16.000Z,"A (Video of species) 131",11/09/2021,33.5996,-101.897729,5,3721526,231107,14S,"A (Video of species)",131
00f6585d-5a55-415e-9473-e26353f67cb1,2021-09-11T17:47:01.624Z,2021-09-13T16:05:14.000Z,"A (Video of species) 158",11/09/2021,33.599633,-101.897792,20,3721530,231101,14S,"A (Video of species)",158
65318fcc-1f12-44a4-bb8a-a4dc66c350c7,2021-09-11T17:46:19.524Z,2021-09-13T16:05:12.000Z,"A (Video of species) 174",11/09/2021,33.599601,-101.897815,5,3721526,231099,14S,"A (Video of species)",174
65ff31ec-907e-4145-9a0e-e355f97681e1,2021-09-11T17:45:45.857Z,2021-09-13T16:05:10.000Z,"A (Video of species) 137",11/09/2021,33.599634,-101.897835,5,3721530,231097,14S,"A (Video of species)",137
fa9d6733-221f-4544-9ee9-01c77ff1ed76,2021-09-11T17:44:59.351Z,2021-09-13T16:05:07.000Z,"A (Video of species) 166",11/09/2021,33.599613,-101.897921,5,3721528,231089,14S,"A (Video of species)",166
d6e1b28b-e422-4fc2-b5dd-2b24890657ab,2021-09-11T17:44:19.838Z,2021-09-13T16:05:06.000Z,"A (Video of species) 138",11/09/2021,33.599639,-101.897934,5,3721531,231088,14S,"A (Video of species)",138
173d7c91-11d0-4cc0-956b-f8945e357970,2021-09-11T17:43:39.824Z,2021-09-13T16:05:04.000Z,"A (Video of species) 148",11/09/2021,33.599616,-101.897945,5,3721528,231087,14S,"A (Video of species)",148
d23407b5-a292-4360-a409-07efc0e78fed,2021-09-11T17:42:50.172Z,2021-09-13T16:05:02.000Z,"A (Video of species) 128",11/09/2021,33.599587,-101.897975,5,3721525,231084,14S,"A (Video of species)",128
d4f6cf90-11ac-474f-a7b0-f3a75ee665ae,2021-09-11T17:41:27.794Z,2021-09-13T16:05:00.000Z,"Silverleaf nightshade 53",11/09/2021,33.599618,-101.898112,145,3721529,231071,14S,"Silverleaf nightshade",53
e8c94349-48d9-4e16-98e3-98505b712625,2021-09-11T17:40:47.643Z,2021-09-13T16:04:58.000Z,"Silverleaf nightshade 40",11/09/2021,33.599586,-101.898034,5,3721525,231078,14S,"Silverleaf nightshade",40
c50f1241-2c3c-4fbd-a9b9-c4739a7b5c4d,2021-09-11T17:40:25.660Z,2021-09-13T16:04:56.000Z,"Silverleaf nightshade 47",11/09/2021,33.599663,-101.898086,80,3721534,231074,14S,"Silverleaf nightshade",47
26168cfb-5617-4b9b-b0b4-c96e0fc15a86,2021-09-11T17:38:49.317Z,2021-09-13T16:04:54.000Z,"Silverleaf nightshade 38",11/09/2021,33.599573,-101.898628,7,3721525,231023,14S,"Silverleaf nightshade",38
8e0604b1-d93a-489a-9af2-398bd91cc54a,2021-09-11T17:38:23.523Z,2021-09-13T16:04:53.000Z,"Russian thistle 52",11/09/2021,33.599603,-101.898467,200,3721528,231038,14S,"Russian thistle",52
a354fe57-6180-4def-8b89-788ca46ee4ae,2021-09-11T17:37:30.240Z,2021-09-13T16:04:51.000Z,"Silverleaf nightshade 42",11/09/2021,33.599605,-101.898335,5,3721528,231051,14S,"Silverleaf nightshade",42
69c227c1-8d7b-4881-99d4-e4abd9d8aea9,2021-09-11T17:37:10.555Z,2021-09-13T16:04:49.000Z,"Silverleaf nightshade 39",11/09/2021,33.599602,-101.898305,5,3721528,231053,14S,"Silverleaf nightshade",39
a3cbdf95-9297-4a1d-ab5c-647789f5b1af,2021-09-11T17:36:49.636Z,2021-09-13T16:04:47.000Z,"Silverleaf nightshade 59",11/09/2021,33.599589,-101.89826,5,3721526,231057,14S,"Silverleaf nightshade",59
e8db15f1-b14a-45f1-ac00-4a5a18957d50,2021-09-11T17:36:09.275Z,2021-09-13T16:04:45.000Z,"Silverleaf nightshade 47",11/09/2021,33.599596,-101.898221,5,3721527,231061,14S,"Silverleaf nightshade",47
4eaa3a54-7e63-4f63-a696-523f1be5fe61,2021-09-11T17:35:40.393Z,2021-09-13T16:04:43.000Z,"Silverleaf nightshade 63",11/09/2021,33.599575,-101.89817,6,3721524,231066,14S,"Silverleaf nightshade",63
242103e1-246a-4853-992b-04e900d2569c,2021-09-11T17:35:19.481Z,2021-09-13T16:04:41.000Z,"Silver leaf noghtshade 48",11/09/2021,33.599648,-101.898269,139,3721533,231057,14S,"Silver leaf noghtshade",48
0faf9a06-a15b-43f7-bb32-4765e899c45b,2021-09-11T17:34:11.447Z,2021-09-13T16:04:40.000Z,"Russian thistle 62",11/09/2021,33.59957,-101.898337,11,3721524,231050,14S,"Russian thistle",62
59ba1fc9-2e75-4736-88e2-7d45d25eaaf4,2021-09-11T17:33:35.297Z,2021-09-13T16:04:38.000Z,"Russian thistle 85",11/09/2021,33.5996,-101.89844,5,3721528,231041,14S,"Russian thistle",85
41d2580a-4690-4bcb-9b99-bf2f586f407d,2021-09-11T17:32:59.881Z,2021-09-13T16:04:36.000Z,"Russian thistle 55",11/09/2021,33.599608,-101.898508,6,3721529,231034,14S,"Russian thistle",55
0479ccbf-df33-49f8-92e5-b19024b14646,2021-09-11T17:31:19.729Z,2021-09-13T16:04:34.000Z,"Russian thistlE 92",11/09/2021,33.599679,-101.898556,200,3721537,231030,14S,"Russian thistlE",92
bb86431f-9616-42a8-917b-9cb408408cc4,2021-09-11T17:30:38.471Z,2021-09-13T16:04:32.000Z,"Russian thistle 100",11/09/2021,33.599651,-101.898379,7,3721533,231047,14S,"Russian thistle",100
aeb599d5-a4c3-4555-b77f-daaf8dd52517,2021-09-11T17:29:55.639Z,2021-09-13T16:04:30.000Z,"Russian thistle 62",11/09/2021,33.59962,-101.898138,203,3721529,231069,14S,"Russian thistle",62
2d3afad8-5c3f-47db-a6ea-79ea23e2a61c,2021-09-11T17:28:58.678Z,2021-09-13T16:04:28.000Z,"Russian thistle 85",11/09/2021,33.599527,-101.898104,92,3721519,231072,14S,"Russian thistle",85
2623ba45-cdf0-48be-83af-a2ccd37398e4,2021-09-11T17:27:35.534Z,2021-09-13T16:04:26.000Z,"Russian thistle 106",11/09/2021,33.599627,-101.897913,5,3721530,231090,14S,"Russian thistle",106
8f820307-f1b3-40af-989c-0d60428f9a7d,2021-09-11T17:26:50.112Z,2021-09-13T16:04:24.000Z,"Russian thistle 81",11/09/2021,33.599604,-101.897939,17,3721527,231087,14S,"Russian thistle",81
