ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_is_the_plot_n,3_What_is_the_subplo,4_What_is_the_specie,5_What_is_the_percen
04c1b85e-dd69-4baf-9284-1d50adecb90d,2022-09-17T17:52:15.674Z,2022-09-17T19:50:49.000Z,"37 NE Litter",17/09/2022,37,NE,Litter,90
07e30e00-3139-4690-be79-73b25a078801,2022-09-17T17:51:44.490Z,2022-09-17T19:50:47.000Z,"37 NE BoGr",17/09/2022,37,NE,BoGr,2
814a624e-2150-4ec5-9e47-e93fafbc065f,2022-09-17T17:51:28.071Z,2022-09-17T19:50:45.000Z,"37 NE SaTr",17/09/2022,37,NE,SaTr,8
6d849f22-2087-4471-9424-29d2f0997d5d,2022-09-17T17:51:09.577Z,2022-09-17T19:50:43.000Z,"37 NE GlPu",17/09/2022,37,NE,GlPu,1
1cb6eb7c-cefc-48c8-b3dc-a53eeadbb6b6,2022-09-17T17:49:52.103Z,2022-09-17T18:30:43.000Z,"29 NE Litter",17/09/2022,29,NE,Litter,50
19303569-5e5d-45ab-822d-c49c176272df,2022-09-17T17:49:13.997Z,2022-09-17T18:30:39.000Z,"29 NE BoGr",17/09/2022,29,NE,BoGr,2
bc0e6462-d635-4bb6-a20e-1a648eef63bf,2022-09-17T17:48:54.991Z,2022-09-17T18:30:34.000Z,"29 NE ChIn",17/09/2022,29,NE,ChIn,15
8cdb94f4-bfcf-4014-b1dc-ab4c3a6930d3,2022-09-17T17:48:38.413Z,2022-09-17T18:30:30.000Z,"29 NE SaTr",17/09/2022,29,NE,SaTr,25
316dbcad-2f3f-469d-ae71-d950e0978087,2022-09-17T17:37:26.162Z,2022-09-17T18:30:25.000Z,"28 NW Litter",17/09/2022,28,NW,Litter,100
d6faae6c-8919-414e-b190-f3769de4765d,2022-09-17T17:37:05.927Z,2022-09-17T18:30:22.000Z,"28 NW ChIn",17/09/2022,28,NW,ChIn,2
fc001560-0593-4043-8fed-bedf66d53b6c,2022-09-17T17:36:46.657Z,2022-09-17T18:30:17.000Z,"28 NW SaTr",17/09/2022,28,NW,SaTr,1
a7304558-a010-46ab-aa69-41aa79ac71e3,2022-09-17T17:36:29.258Z,2022-09-17T18:30:13.000Z,"28 NW GlPu",17/09/2022,28,NW,GlPu,1
59b836e5-b8c4-479a-91e6-4ae61efcccf1,2022-09-17T17:30:31.053Z,2022-09-17T18:30:09.000Z,"27 NW Litter",17/09/2022,27,NW,Litter,10
204c111f-6436-4cb6-94a8-fcf0f064ba36,2022-09-17T17:29:43.765Z,2022-09-17T18:30:07.000Z,"27 NW BoGr",17/09/2022,27,NW,BoGr,3
a891804f-f735-44f6-b73c-0227a7263bb9,2022-09-17T17:29:25.509Z,2022-09-17T18:30:02.000Z,"27 NW SoEl",17/09/2022,27,NW,SoEl,1
7d02cd5e-dc03-43f7-9da1-67908918cd6c,2022-09-17T17:29:01.045Z,2022-09-17T18:30:00.000Z,"27 NW ZiGr",17/09/2022,27,NW,ZiGr,5
5750d52a-3cc7-4840-a4e6-071f5196a47f,2022-09-17T17:28:27.677Z,2022-09-17T17:53:08.000Z,"27 NW ChIn",17/09/2022,27,NW,ChIn,10
d1b2fa98-ecd2-4f14-9fb3-5fc1f4f31c41,2022-09-17T17:28:03.765Z,2022-09-17T17:53:04.000Z,"27 NW SaTr",17/09/2022,27,NW,SaTr,60
769c7de5-4af9-4c89-a981-22e500607f8d,2022-09-17T15:49:19.476Z,2022-09-17T17:52:59.000Z,"8 SW Litter",17/09/2022,8,SW,Litter,70
02810561-ffd7-4c62-9795-1e64e8f171e0,2022-09-17T15:48:58.612Z,2022-09-17T17:52:55.000Z,"8 SW Chamaesyce",17/09/2022,8,SW,Chamaesyce,1
1308ec94-a07a-4e9e-b0f9-6f2784c13cca,2022-09-17T15:48:33.452Z,2022-09-17T17:52:49.000Z,"8 SW BoGr",17/09/2022,8,SW,BoGr,3
a5fd6514-4c4b-4e59-a20e-23fe25ecffec,2022-09-17T15:48:17.136Z,2022-09-17T17:52:45.000Z,"8 SW GlPu",17/09/2022,8,SW,GlPu,1
dba8b686-3759-4d0e-bdcb-35365022c599,2022-09-17T15:48:01.002Z,2022-09-17T17:52:41.000Z,"8 SW SoEl",17/09/2022,8,SW,SoEl,5
de61a9d9-0bd8-4ba4-8e2c-d7d37a35c30c,2022-09-17T15:47:37.982Z,2022-09-17T17:52:38.000Z,"8 SW BaSc",17/09/2022,8,SW,BaSc,5
f698a26f-5dec-4f51-bd48-18a4fd3622c9,2022-09-17T15:47:08.241Z,2022-09-17T17:52:33.000Z,"8 SW SaTr",17/09/2022,8,SW,SaTr,20
1cde74e4-92be-4db0-949f-e41181237f70,2022-09-17T15:46:46.195Z,2022-09-17T17:52:31.000Z,"8 SW PoOl",17/09/2022,8,SW,PoOl,1
fffcfc50-576c-4044-949b-7c1e3a60c8e2,2022-09-17T14:58:27.573Z,2022-09-17T17:52:28.000Z,"5 SE Litter",17/09/2022,5,SE,Litter,40
e2ef6111-a9df-49bb-b1f0-44bab68920b9,2022-09-17T14:58:04.995Z,2022-09-17T17:52:25.000Z,"5 SE BoGr",17/09/2022,5,SE,BoGr,2
2745e270-2a27-4d24-9ef1-f03b03349f99,2022-09-17T14:57:45.099Z,2022-09-17T17:52:23.000Z,"5 SE ChIn",17/09/2022,5,SE,ChIn,65
