"","Plot","lai_mean","lai_sd","lai_n"
"1","11",1.305646,0.49658171040424,3
"2","12",1.88864,0.261015537468558,3
"3","13",1.26263666666667,0.134158617439706,3
"4","14",2.01548333333333,0.222402756577641,3
"5","15",1.11950633333333,0.404784815908815,3
"6","16",2.26302666666667,0.688266999523683,3
"7","17",1.28913666666667,0.115494743314721,3
"8","18",2.74622333333333,1.0585681085945,3
"9","2",1.22352633333333,0.383710013005047,3
"10","20",1.57886,0.499752751768312,3
"11","21",1.49171666666667,0.408063400016877,3
"12","23",1.53311666666667,0.0962598905740773,3
"13","24",1.48825066666667,0.523350701195034,3
"14","27",1.23753333333333,0.335604091204701,3
"15","28",1.56687225,1.01843014190808,4
"16","29",2.06615333333333,0.544252096397739,3
"17","3",1.19728,0.0750844984001359,3
"18","30",0.933549,0.227226264628454,3
"19","32",1.72788666666667,0.307967186412232,6
"20","33",2.12212333333333,0.105412580052541,3
"21","34",1.84226333333333,1.01210882025271,3
"22","35",1.83753,0.563370465235798,3
"23","36",1.98793666666667,0.633914119604015,3
"24","37",2.2418,0.643507429560841,3
"25","39",1.45575333333333,0.238386335458502,3
"26","4",1.69334333333333,1.13589220128203,3
"27","42",1.97689333333333,0.815491547616119,3
"28","5",2.23037333333333,0.987981972322032,3
"29","8",1.45898333333333,0.184619307314629,3
"30","9",1.51550766666667,0.565554368541463,3
