Life form,Family,Common Name,Latin binomial,Code
Forb,Oxalidaceae,Yellow wood-sorrel,Oxalis priceae,OxPr
Forb,Papaveraceae,Hedgehog pricklypoppy,Argemone squarrosa ssp. Glabrata,ArSq gl
Forb,Pedaliaceae,Devil's claw,Proboscidea louisianica,PrLo
Grass,Poaceae,Sixweeks threeawn,Aristida adscenscionis,ArAd
Grass,Poaceae,Red threeawn,Aristida longiseta,ArLo
Grass,Poaceae,Purple threeawn,Aristida purpurea,ArPu
Grass,Poaceae,Cane bluestem,Bothriochloa barbinodis,BoBa
Grass,Poaceae,Yellow bluestem,Bothriochloa ischaemum,BoIs
Grass,Poaceae,Silver bluestem,Bothriochloa saccariodes,BoSa
Grass,Poaceae,Sideoats grama,Bouteloua curtipendula,BoCu
Grass,Poaceae,Buffalo grass,Bouteloua dactyloides,BoDa
Grass,Poaceae,Blue grama,Bouteloua gracilis,BoGr
Grass,Poaceae,Sixweeks grama,Bouteloua trifida,BoTr
Grass,Poaceae,Rescuegrass,Bromus unioloides,BrUn
Grass,Poaceae,Grassbur,Cenchrus incertus,CeIn
Grass,Poaceae,Hooded windmillgrass,Chloris cucullata,ChCu
Grass,Poaceae,Windmillgrass,Chloris verticillata,ChVe
Grass,Poaceae,Bermuda Grass,Cynodon dactylon,CyDa
Grass,Poaceae,Arizona cottontop,Digitaria californica,DiCa
Grass,Poaceae,Barnyard grass,Echinochloa crusgalli,EcCr
Grass,Poaceae,Gummy lovegrass,Eragrostis cuptipedicelata,ErCu
Grass,Poaceae,Weeping lovegrass,Eragrostis curvula,ErCur
Grass,Poaceae,Foxtail barley,Hordeum jubatum,HoJu
Grass,Poaceae,Green Sprangletop,Leptochloa dubia,LeDu
Grass,Poaceae,Fall witchgrass,Leptoloma cognatum,LeCo
Grass,Poaceae,Sand muhly,Muhlenbergia arenicola,MuAr
Grass,Poaceae,Ring muhly,Muhlenbergia torreyi,MuTo
Grass,Poaceae,Mexican Feather Grass,Nassella tenuissima,NaTe
Grass,Poaceae,Vine mesquite,Panicum obtusum,PaOb
Grass,Poaceae,Carolina canarygrass,Phalaris caroliniana,PhCa
Grass,Poaceae,Tumblegrass,Schedonnardus paniculatus,ScPa
Grass,Poaceae,Little bluestem,Schizachyrum scoparium,ScSc
Grass,Poaceae,Prarie Bristlegrass/unkgr,Setaria leucopila,SeLe
Grass,Poaceae,Squirreltail,Sitanion hystrix,SiHy
Grass,Poaceae,Johnson grass,Sorghum halepense,SoHa
Grass,Poaceae,Sand dropseed,Sporobolus cryptandrus,SpCr
Grass,Poaceae,White Tridens,Tridens albescens,TrAl
Forb,Polemoniaceae,Iron ipomopsis,Ipomopsis laxiflora,IpLa
Forb,Polygonaceae,Pink smartweed,Polygonum pensylvanicum,PoPn
Forb,Polygonaceae,Curly dock,Rumex hymenosepalus,RuHy
Forb,Portulacaceaea,Shaggy portulaca,Portulaca mundula,PoMu
Forb,Portulacaceaea,Purslane,Portulaca oleracea,PoOl
Forb,Ranunculaceae,Carolina larkspur,Delphinium carolinianum,DeCa*
Shrub/tree,Rhamnaceae,Lotebush,Ziziphus obtusifolia,ZiOb
Shrub/tree,Simaroubaceae,Tree of Heaven ,Ailanthus altissima,AiAl
Forb,Solanaceae,Hairy false nightshade,Chamaesaracha sordida,ChSo
Forb,Solanaceae,Sand bells,Petunia parviflora,Pepa
Forb,Solanaceae,Purple ground cherry,Quincula lobata,QuLo
Forb,Solanaceae,Silver-leaf nightshade,Solanum elaegnaifolium,SoEl
Forb,Solanaceae,Buffalo burr,Solanum rostratum,SoRo
Shrub/tree,Ulmaceae,Unkown Elm,Ulmus pumila,UlPu
Forb,Verbenaceae,Pink mock vervain,Glandularia pumila,GlPu
Forb,Verbenaceae,Prairie verbena,Verbena bipinnatifida/Glandularia bipinnatifida,VeBi
Forb,Verbenaceae,Prostrate vervain,Verbena bracteata,VeBr
Forb,Verbenaceae,Fanleaf vervain,Verbena plicata,VePl
BARE,bareground,bareground,bareground,BARE
LITT,litter,litter,litter,LITT
