B_Obs,Time,LAI,GAP[1],GAP[2],GAP[3],GAP[4],GAP[5]
16,15:44:12,1.09684,0.948598,0.823518,0.517106,0.353662,0.152763
19,15:44:19,1.65456,0.740561,0.63021,0.342548,0.148468,0.130484
22,15:44:26,0.919179,0.85729,0.596367,0.662006,0.493195,0.201382
28,15:45:22,1.27705,0.579648,0.496146,0.396171,0.400459,0.167186
31,15:45:33,1.12798,0.653747,0.552505,0.630002,0.381166,0.157143
34,15:45:40,1.18681,0.846253,0.809923,0.56976,0.302743,0.123896
40,15:47:26,3.00495,0.049589,0.0604876,0.10565,0.128881,0.0737135
43,15:47:32,1.04167,0.726125,0.559819,0.637285,0.335389,0.248445
46,15:47:38,1.03341,0.900294,0.633268,0.484845,0.360698,0.270782
52,15:48:34,3.37086,0.090063,0.0697638,0.0837041,0.0679263,0.0404344
55,15:48:40,1.68413,0.238715,0.335449,0.38306,0.238411,0.137943
58,15:48:47,1.63613,0.382502,0.462803,0.279164,0.261856,0.137323
64,15:50:47,1.32664,0.896323,0.575799,0.393487,0.295558,0.15899
67,15:50:53,1.38042,0.674006,0.541485,0.46064,0.278384,0.133304
70,15:51:00,1.66989,0.642689,0.505896,0.273554,0.19506,0.143933
76,15:52:00,0.978723,0.445142,0.604042,0.546885,0.424613,0.302985
79,15:52:09,1.4618,0.643578,0.527911,0.305748,0.263651,0.180597
82,15:52:16,2.106,0.0497015,0.231693,0.33176,0.149857,0.139403
88,15:53:20,1.30188,0.51051,0.461078,0.60587,0.325023,0.133016
91,15:53:24,0.810958,1,1,0.704589,0.491776,0.166638
94,15:53:30,1.8041,0.428061,0.404691,0.331057,0.177201,0.107452
100,15:54:22,1.59302,0.585503,0.371685,0.298654,0.230374,0.192261
103,15:54:28,1.9856,0.546956,0.305882,0.24965,0.204275,0.0739043
106,15:54:33,2.0873,0.450641,0.206979,0.258374,0.175092,0.0906087
112,15:56:14,1.34768,0.251071,0.302107,0.507545,0.399479,0.195889
115,15:56:18,1.10798,0.423448,0.678552,0.631724,0.342488,0.185702
118,15:56:24,1.33225,0.951392,0.52188,0.494068,0.300912,0.123056
124,15:57:19,2.16219,0.207764,0.279545,0.254504,0.138306,0.0915444
127,15:57:23,1.75959,0.782636,0.364103,0.290862,0.233785,0.0935289
130,15:57:27,2.12467,0.459459,0.377693,0.272521,0.122892,0.0667041
136,15:59:19,1.50744,0.311782,0.490334,0.339084,0.280313,0.164925
139,15:59:25,1.15133,0.626978,0.53179,0.491814,0.364185,0.218498
142,15:59:31,0.699749,0.658736,0.73762,0.808373,0.486074,0.339099
148,16:00:33,1.56755,0.590302,0.386538,0.390917,0.2386,0.139085
151,16:00:38,2.94385,0.166343,0.262004,0.117357,0.0712819,0.0311439
154,16:00:43,2.27768,0.156075,0.246547,0.184603,0.168268,0.0815443
160,16:02:12,1.33175,0.677365,0.531165,0.437612,0.262609,0.189972
163,16:02:17,1.37727,0.463934,0.487869,0.370279,0.281196,0.217817
166,16:02:24,1.15839,0.326766,0.463815,0.492918,0.368913,0.292575
172,16:03:15,2.35953,0.367434,0.26114,0.210877,0.112362,0.0627569
175,16:03:27,3.94377,0.00736732,0.00692366,0.0620583,0.10141,0.0712253
178,16:03:35,1.93537,0.586513,0.307957,0.244952,0.167669,0.117885
184,16:04:32,1.82598,0.421652,0.362268,0.305816,0.170447,0.128246
187,16:04:37,1.00369,0.583818,0.608175,0.571764,0.396388,0.26
190,16:04:43,1.90691,0.407179,0.313152,0.2697,0.195331,0.104834
196,16:05:43,1.49474,0.401878,0.304795,0.430667,0.308092,0.163992
199,16:05:48,1.08215,0.798122,0.69553,0.527619,0.351147,0.198141
202,16:05:53,1.89826,0.440221,0.51196,0.258309,0.147772,0.102642
208,16:08:29,1.43607,0.797069,0.524745,0.349847,0.236108,0.184867
211,16:08:33,1.53471,0.235149,0.366511,0.500354,0.289779,0.125871
214,16:08:39,1.62857,0.134467,0.48036,0.434536,0.237893,0.125669
220,16:09:20,1.87097,0.251909,0.314813,0.33504,0.183778,0.116489
223,16:09:25,1.70191,0.825014,0.556275,0.334807,0.161778,0.107565
226,16:09:30,0.891872,0.625014,0.636873,0.672871,0.485989,0.233269
232,16:10:59,1.62203,0.341175,0.431856,0.336023,0.261876,0.127708
235,16:11:03,1.08714,0.801103,0.7237,0.66732,0.315252,0.161763
238,16:11:08,1.00343,0.860311,0.857581,0.515965,0.328297,0.243992
244,16:12:13,0.210989,0.936594,0.923641,0.929852,0.829237,0.678096
247,16:12:19,2.22885,0.141877,0.238676,0.149489,0.176213,0.128466
250,16:12:22,1.36875,0.380101,0.528689,0.665948,0.262877,0.117375
253,16:12:27,2.4589,0.364587,0.214409,0.161975,0.104894,0.0783641
259,16:16:16,1.86103,0.718097,0.432913,0.308193,0.156959,0.0880416
262,16:16:25,1.65427,0.173975,0.338486,0.541291,0.249131,0.104159
265,16:16:32,2.68316,0.109229,0.143007,0.189365,0.108522,0.0549653
271,16:17:24,1.16912,0.334295,0.415372,0.46496,0.493244,0.222605
274,16:17:30,0.715706,0.978991,0.705626,0.746272,0.569465,0.259483
277,16:17:36,0.915821,0.518181,0.808263,0.683772,0.428109,0.209579
283,16:18:37,1.71273,0.648658,0.460706,0.299629,0.227756,0.0954128
286,16:18:43,1.49602,0.607935,0.402831,0.463563,0.237384,0.143119
289,16:18:49,2.28532,0.46091,0.321137,0.21479,0.131142,0.0506789
295,16:22:13,1.82833,0.154048,0.367526,0.35585,0.196135,0.118098
298,16:22:19,1.43584,0.910337,0.458968,0.448305,0.264604,0.126316
301,16:22:25,1.60908,0.641946,0.584291,0.487669,0.222942,0.0644783
307,16:23:25,2.00801,0.712827,0.394987,0.256845,0.166096,0.0624935
310,16:23:29,2.1425,0.713313,0.362375,0.241773,0.133892,0.0578882
313,16:23:36,2.21586,0.234772,0.395717,0.207109,0.121623,0.0788507
319,16:25:56,1.2547,0.7608,0.671601,0.563803,0.314404,0.112712
322,16:26:02,1.26115,0.640625,0.685866,0.421679,0.331208,0.152166
325,16:26:09,3.01094,0.281595,0.218176,0.123786,0.0559773,0.0313936
331,16:27:59,2.21967,0.504501,0.0757893,0.245995,0.24703,0.0893224
334,16:28:04,1.19054,0.792342,0.548893,0.532282,0.313681,0.187512
337,16:28:10,2.10238,0.407274,0.35238,0.425485,0.0622496,0.118974
343,16:30:22,1.47844,0.861687,0.526099,0.428162,0.25567,0.105856
346,16:30:27,1.78754,0.901222,0.688651,0.305231,0.103402,0.126619
349,16:30:32,2.69783,0.197556,0.158545,0.107504,0.114845,0.0727773
355,16:31:18,1.86375,0.231464,0.342254,0.286211,0.185226,0.136919
358,16:31:26,1.87683,0.36856,0.265258,0.334252,0.187548,0.115679
361,16:31:30,2.98482,0.182234,0.0842488,0.149635,0.085016,0.0440565
367,16:32:31,1.71436,0.443049,0.406352,0.341924,0.200098,0.122598
370,16:32:35,1.24478,0.976014,0.680993,0.480932,0.250307,0.178493
373,16:32:38,1.40812,0.997865,0.853416,0.379279,0.202676,0.134716
379,16:33:52,2.22136,0.576122,0.178531,0.18856,0.168221,0.0888224
382,16:33:57,2.64219,0.168269,0.14757,0.118985,0.113138,0.092028
385,16:34:04,1.06713,0.855636,0.808273,0.626478,0.393682,0.12271
