A,1,20190627 15:39:42,W1,552.2,554.9,540,510,453.3,4A
A,4,20190627 15:39:53,W1,102.4,102.9,100.6,95.29,87.02,4A
A,7,20190627 15:40:10,W1,596.4,626.7,554.4,472.4,486.3,4A
A,10,20190627 15:40:45,W1,108.3,99.55,89.88,94.29,113.1,4A
A,13,20190627 15:44:00,W1,107,104.6,94.41,96.25,115.8,P2 
A,25,20190627 15:45:10,W1,108.1,103.8,92.46,95.89,115.5,P3
A,37,20190627 15:47:17,W1,102.2,97.21,89.74,94.04,106.1,P4
A,49,20190627 15:48:24,W1,96.81,96.11,88.55,93.41,112.8,P5
A,61,20190627 15:50:38,W1,93.56,94.13,89.05,94.33,112.9,P8
A,73,20190627 15:51:53,W1,97.16,99.96,95.34,98.16,100.5,P9
A,85,20190627 15:53:11,W1,98,100.2,93.7,96.67,115.4,P11
A,97,20190627 15:54:14,W1,99.88,100.3,92.85,97.32,115,P12
A,109,20190627 15:56:06,W1,93.4,92.55,86.81,92.12,111.9,P13
A,121,20190627 15:57:10,W1,95.83,99.34,92.69,96.67,115.9,P14
A,133,20190627 15:59:11,W1,96.67,96.73,91.01,94.43,83.25,P15
A,145,20190627 16:00:24,W1,87.65,91.22,85.21,90.57,104.9,P16
A,157,20190627 16:02:06,W1,94.41,95.62,88.96,92,99.12,P17
A,169,20190627 16:03:08,W1,91.2,93.13,87.16,91.49,101.2,P18
A,181,20190627 16:04:25,W1,87.75,91.01,85.28,90.82,105.5,P20
A,193,20190627 16:05:38,W1,90.5,92.39,87.26,92.44,102.2,P21
A,205,20190627 16:08:21,W1,89.39,90.12,84.78,89.62,98.99,P23
A,217,20190627 16:09:14,W1,90.35,91.07,85.96,91.36,103.1,P24
A,229,20190627 16:10:53,W1,88.84,91.35,86.75,91.99,92.79,P27
A,241,20190627 16:11:52,W1,88.95,92.72,88.1,93.58,108.2,P28
A,256,20190627 16:16:07,W1,91.45,95.1,92.15,97.86,115.4,P29
A,268,20190627 16:17:14,W1,86.63,84.96,80.48,86.59,104.4,P30
A,280,20190627 16:18:30,W1,85.7,86.91,83.57,90.36,109,P32
A,292,20190627 16:22:07,W1,83.87,85.3,82.31,89.53,108.3,P32
A,304,20190627 16:23:18,W1,82.25,82.18,79.62,84.77,96.41,P33
A,316,20190627 16:25:51,W1,87.04,92.54,91.61,98.79,106.2,P34
A,328,20190627 16:27:54,W1,83.31,84.88,82.4,88.37,103.3,P35
A,340,20190627 16:30:14,W1,86.76,92.34,90.62,97,112.7,P36
A,352,20190627 16:31:09,W1,83.08,85.2,83.47,90.43,109.7,P37
