ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_is_the_plot_n,3_What_is_the_subplo,4_What_is_the_specie,5_What_is_the_percen
10cbc726-1498-4be0-9aeb-ccba2c7fffc4,2020-09-19T17:15:30.603Z,2020-09-19T19:29:14.000Z,"23 NE LITT",19/09/2020,23,NE,LITT,100
eee3b2c7-60bc-47a1-af0a-e6fdf1cfe45f,2020-09-19T17:14:57.459Z,2020-09-19T19:29:12.000Z,"23 NE SoEl",19/09/2020,23,NE,SoEl,2
a293e0ed-8a9c-4e9e-874d-ada26a410261,2020-09-19T17:14:18.319Z,2020-09-19T19:29:10.000Z,"23 NE LaCo",19/09/2020,23,NE,LaCo,3
95d638af-5ec2-479c-a164-9cef5f854b18,2020-09-19T17:13:50.185Z,2020-09-19T19:29:08.000Z,"23 NE ChIn",19/09/2020,23,NE,ChIn,10
14301db3-66fb-432a-9ab4-372415f4a49b,2020-09-19T17:13:24.674Z,2020-09-19T19:29:06.000Z,"23 NE GuSa",19/09/2020,23,NE,GuSa,30
7edb991f-ffbb-40c6-b11c-19b3ec30d8a8,2020-09-19T17:12:29.722Z,2020-09-19T19:29:04.000Z,"23 NE PrGl",19/09/2020,23,NE,PrGl,8
5d7029a6-c147-49fc-8b45-a95fd3e97efa,2020-09-19T17:10:30.265Z,2020-09-19T19:29:02.000Z,"24 SE LITT",19/09/2020,24,SE,LITT,20
47019420-d602-4c04-a739-2453fe8b2a7f,2020-09-19T17:10:10.496Z,2020-09-19T19:29:00.000Z,"24 SE BARE",19/09/2020,24,SE,BARE,20
acb4f7ff-3be4-4147-b5e6-8edfb107f5cb,2020-09-19T17:09:48.554Z,2020-09-19T19:28:58.000Z,"24 SE DePi",19/09/2020,24,SE,DePi,3
c3a31111-b54e-4667-94c6-49e7bba7000e,2020-09-19T17:04:39.466Z,2020-09-19T19:28:57.000Z,"27 SW LITT",19/09/2020,27,SW,LITT,100
67e2dada-feaa-4750-8552-0c803fd499ac,2020-09-19T17:04:17.667Z,2020-09-19T19:28:55.000Z,"27 SW DePi",19/09/2020,27,SW,DePi,15
edda6e57-e4ff-4668-a472-e14610bc7e2c,2020-09-19T17:01:10.095Z,2020-09-19T19:28:53.000Z,"28 SW BARE",19/09/2020,28,SW,BARE,15
4500ad93-4367-4a59-9def-842d275bf279,2020-09-19T17:00:46.512Z,2020-09-19T19:28:51.000Z,"28 SW LITT",19/09/2020,28,SW,LITT,90
c93d58ce-fc2b-4067-b7e2-e65b70ff793d,2020-09-19T16:59:55.523Z,2020-09-19T19:28:49.000Z,"28 SW GuSa",19/09/2020,28,SW,GuSa,10
39cf13cf-cf4f-49fb-80ab-103ee4427f5a,2020-09-19T16:59:20.610Z,2020-09-19T19:28:47.000Z,"28 SW ChIn",19/09/2020,28,SW,ChIn,10
53991342-30e9-468e-943a-27ed81afe00b,2020-09-19T16:56:47.827Z,2020-09-19T19:28:45.000Z,"21 SE LITT",19/09/2020,21,SE,LITT,100
78b6a6f3-4e20-4ad0-9b3f-c7875bbb1759,2020-09-19T16:56:22.282Z,2020-09-19T19:28:43.000Z,"21 SE GuSa",19/09/2020,21,SE,GuSa,30
0cec6881-913a-4c5d-bac7-76b6007d7bc8,2020-09-19T16:55:54.314Z,2020-09-19T19:28:41.000Z,"21 SE SaTr",19/09/2020,21,SE,SaTr,30
4758dae4-b60b-422f-8bea-3c630e97c3ab,2020-09-19T16:51:47.093Z,2020-09-19T19:28:39.000Z,"20 SW BARE",19/09/2020,20,SW,BARE,15
9a76a16b-b6b0-45a8-adeb-8449d646fb69,2020-09-19T16:51:23.180Z,2020-09-19T19:28:37.000Z,"20 SW LITT",19/09/2020,20,SW,LITT,85
a6575075-8d7c-45f1-91cd-18803bb60040,2020-09-19T16:51:02.321Z,2020-09-19T19:28:35.000Z,"20 SW GuSa",19/09/2020,20,SW,GuSa,20
5e879524-e277-4fd5-a171-c5bde546f0de,2020-09-19T16:48:16.427Z,2020-09-19T19:28:33.000Z,"18 NW LITT",19/09/2020,18,NW,LITT,95
23e2a851-622f-4160-a566-a8ce3ae57a5a,2020-09-19T16:47:41.122Z,2020-09-19T19:28:31.000Z,"18 NW BARE",19/09/2020,18,NW,BARE,5
eb5cc415-5129-4db5-a518-55d0aa476ba6,2020-09-19T16:47:18.646Z,2020-09-19T19:28:29.000Z,"18 NW ChIn",19/09/2020,18,NW,ChIn,2
47932f9e-e084-4952-a279-f47c21708e90,2020-09-19T16:46:39.932Z,2020-09-19T19:28:27.000Z,"18 NW GuSa",19/09/2020,18,NW,GuSa,40
ae0ed5e7-a8a3-4dd6-82d5-2819f1440a35,2020-09-19T16:44:46.361Z,2020-09-19T19:28:25.000Z,"17 NW LITT",19/09/2020,17,NW,LITT,75
89dcac97-ea64-4546-983d-c43e82d2c5b4,2020-09-19T16:44:25.177Z,2020-09-19T19:28:23.000Z,"17 NW BARE",19/09/2020,17,NW,BARE,25
8c314f98-d809-4f51-9038-1321f45a5ea4,2020-09-19T16:43:54.879Z,2020-09-19T19:28:22.000Z,"17 NW SoEl",19/09/2020,17,NW,SoEl,3
9d615d02-700d-4180-835a-965046280735,2020-09-19T16:43:29.441Z,2020-09-19T19:28:20.000Z,"17 NW DePi",19/09/2020,17,NW,DePi,10
f31c2989-78f1-49bc-afc0-f460b901f635,2020-09-19T16:43:00.194Z,2020-09-19T19:28:18.000Z,"17 NW GuSa",19/09/2020,17,NW,GuSa,5
a462cb56-4a5c-47b0-80a2-031e407a8a12,2020-09-19T16:42:38.955Z,2020-09-19T19:28:16.000Z,"17 NW ChIn",19/09/2020,17,NW,ChIn,8
68fa3c79-aab1-4c2c-95d4-2de744baa8dc,2020-09-19T16:41:06.047Z,2020-09-19T19:28:14.000Z,"16 SW BARE",19/09/2020,16,SW,BARE,5
3291c756-86bf-43b3-a532-5a97bd2df38e,2020-09-19T16:40:44.965Z,2020-09-19T19:28:12.000Z,"16 SW LITT",19/09/2020,16,SW,LITT,95
d1e5523d-d494-4c78-9d25-fe14a4ace965,2020-09-19T16:40:06.010Z,2020-09-19T19:28:10.000Z,"16 SW ChIn",19/09/2020,16,SW,ChIn,20
415899c8-2269-43cf-aecb-9b5687db624b,2020-09-19T16:39:19.233Z,2020-09-19T19:28:08.000Z,"16 SW SaTr",19/09/2020,16,SW,SaTr,50
1e5f4c17-5d65-4fa2-b91c-c4d0a3e2dc98,2020-09-19T16:35:50.638Z,2020-09-19T19:28:06.000Z,"15 NW LITT",19/09/2020,15,NW,LITT,100
deb32745-6809-4e7e-bcee-a5dac12edebc,2020-09-19T16:35:27.274Z,2020-09-19T19:28:04.000Z,"15 NW SaTr",19/09/2020,15,NW,SaTr,70
7f218e9c-755b-454e-b799-85205f6ac745,2020-09-19T16:26:52.928Z,2020-09-19T19:28:02.000Z,"36 SW BARE",19/09/2020,36,SW,BARE,5
b4bc1333-8c51-4e21-b8f6-7f59a815c12c,2020-09-19T16:26:34.390Z,2020-09-19T19:28:00.000Z,"36 SW LITT",19/09/2020,36,SW,LITT,95
8ee87845-f120-4793-bcfb-4079491dcca2,2020-09-19T16:26:08.580Z,2020-09-19T16:30:39.000Z,"36 SW SoEl",19/09/2020,36,SW,SoEl,6
affbba93-cb28-4fd6-b545-95a8d5997a19,2020-09-19T16:25:43.357Z,2020-09-19T16:30:37.000Z,"36 SW SaTr",19/09/2020,36,SW,SaTr,12
68e6c783-f2e7-410b-9940-17b44245bfe8,2020-09-19T16:25:12.541Z,2020-09-19T16:30:35.000Z,"36 SW ChIn",19/09/2020,36,SW,ChIn,25
55fd9828-a6e2-4af2-81ca-17f82d37cb55,2020-09-19T16:21:59.383Z,2020-09-19T16:30:33.000Z,"37 SW BARE",19/09/2020,37,SW,BARE,5
b7eb4d86-5484-4fff-9444-3bcfe684c249,2020-09-19T16:21:33.057Z,2020-09-19T16:30:31.000Z,"37 SW LITT",19/09/2020,37,SW,LITT,95
c47af7f0-812d-4f75-ad71-4d5d88ab229e,2020-09-19T16:21:01.598Z,2020-09-19T16:30:28.000Z,"37 SW DePi",19/09/2020,37,SW,DePi,25
552c06c0-88f3-4091-b196-3daf7cf31029,2020-09-19T16:20:36.102Z,2020-09-19T16:30:26.000Z,"37 SW GuSa",19/09/2020,37,SW,GuSa,20
629aca25-a453-4b4f-97b1-58e90846a586,2020-09-19T16:18:34.365Z,2020-09-19T16:30:24.000Z,"39 NE DePi",19/09/2020,39,NE,DePi,2
ea4fce09-df55-493c-815f-7ddf8a81ba40,2020-09-19T16:18:12.354Z,2020-09-19T16:30:22.000Z,"39 NE SoEl",19/09/2020,39,NE,SoEl,2
85df1e6d-ccb9-4b5e-a519-ec8d3b4f0a50,2020-09-19T16:17:38.739Z,2020-09-19T16:30:20.000Z,"39 NE LITT",19/09/2020,39,NE,LITT,100
bfc75ab1-364e-42a6-a2a7-58e4be7eab44,2020-09-19T16:16:49.601Z,2020-09-19T16:30:18.000Z,"39 NE SaTr",19/09/2020,39,NE,SaTr,25
f9aac4ba-9797-4ee3-9b6e-05857b9faf74,2020-09-19T16:13:17.307Z,2020-09-19T16:30:14.000Z,"42 SE BARE",19/09/2020,42,SE,BARE,5
bf65a2aa-99cc-4d0a-a815-ff588f162a0c,2020-09-19T16:12:54.156Z,2020-09-19T16:30:12.000Z,"42 SE LITT",19/09/2020,42,SE,LITT,95
ffe8c2b9-c51a-4c67-b821-e37330d238e3,2020-09-19T16:12:27.491Z,2020-09-19T16:30:10.000Z,"42 SE SoEl",19/09/2020,42,SE,SoEl,2
0f1c0cbb-9431-4ec7-9972-5c342962665d,2020-09-19T16:11:57.533Z,2020-09-19T16:30:07.000Z,"42 SE GuSa",19/09/2020,42,SE,GuSa,7
30a400a4-b6c3-49cc-a8ef-4079422a8338,2020-09-19T16:11:36.832Z,2020-09-19T16:30:05.000Z,"42 SE SaTr",19/09/2020,42,SE,SaTr,10
