ec5_uuid,created_at,uploaded_at,title,1_What_is_the_date,2_What_is_the_plot_n,3_What_is_the_subplo,4_What_is_the_specie,5_What_is_the_percen
dfc71680-42a5-431e-b07a-b69159173ae2,2021-09-11T17:52:12.838Z,2021-09-11T20:44:37.000Z,36 SW Bare,11/9/21,36,SW,Bare,2
32c875a2-7791-47c8-8ebf-bdb914ed6fd5,2021-09-11T17:51:51.684Z,2021-09-11T20:44:36.000Z,36 SW Litt,11/9/21,36,SW,Litt,93
46075441-7298-45c6-b925-5f87a66cd2dc,2021-09-11T17:51:25.398Z,2021-09-11T20:44:34.000Z,36 SW BoGr,11/9/21,36,SW,BoGr,5
a3ba5de2-2564-460d-bcf2-f568a6e2a5d2,2021-09-11T17:50:52.471Z,2021-09-11T20:44:32.000Z,36 SW SoEl,11/9/21,36,SW,SoEl,8
9f547746-6fd9-4928-9378-c3bf029e3f3c,2021-09-11T17:50:29.633Z,2021-09-11T20:44:30.000Z,36 SW LaCo,11/9/21,36,SW,LaCo,35
9675dd7a-efed-481f-8cc9-19e8fd29aec6,2021-09-11T17:50:09.146Z,2021-09-11T20:44:29.000Z,36 SW SaTr,11/9/21,36,SW,SaTr,25
32be2674-adde-46c1-92bb-ed0490de147b,2021-09-11T17:45:41.610Z,2021-09-11T20:44:27.000Z,37 SW Bare,11/9/21,37,SW,Bare,2
9d647626-2391-4e5d-bdab-ddf8116607d7,2021-09-11T17:45:25.706Z,2021-09-11T20:44:25.000Z,37 SW Litt,11/9/21,37,SW,Litt,90
320868f4-6245-452f-a82c-aca9eb63b686,2021-09-11T17:45:00.268Z,2021-09-11T20:44:23.000Z,37 SW BoGr,11/9/21,37,SW,BoGr,18
87aa223c-948f-4b1e-b273-ee7894af0d02,2021-09-11T17:44:41.979Z,2021-09-11T20:44:22.000Z,37 SW SoEl,11/9/21,37,SW,SoEl,15
351f8886-8906-4105-a9a8-e3481d2d1500,2021-09-11T17:44:17.463Z,2021-09-11T20:44:10.000Z,36 SW LaCo,11/9/21,36,SW,LaCo,23
ec452156-1173-450a-86d3-ebe5056f0283,2021-09-11T17:43:55.906Z,2021-09-11T20:44:08.000Z,37 SW SaTr,11/9/21,37,SW,SaTr,33
